,y,z,phi,vy,vz,phi_dot
49,4.340395154491782,5.928614767287539,-0.03296482728506196,-0.7037528258299924,0.37463165314823915,-0.078660182459094
50,4.316529498078517,5.93663594590152,-0.03400641592757544,-0.7088019115208393,0.3596018852597846,-0.07929178460973736
51,4.292469574116986,5.944053487551215,-0.03507424481501311,-0.713464657145641,0.34444952778787036,-0.07997219470530449
52,4.268231015754798,5.950862671894431,-0.03615318945698819,-0.7177330128096004,0.32918376702930807,-0.07984757233660869
53,4.243829615482661,5.957059154667698,-0.03722049347433214,-0.7216075300878275,0.31381424489053233,-0.07939016347374649
54,4.219281021340973,5.962638993288301,-0.03827080915213157,-0.7250938065416986,0.2983513717009394,-0.0789981553593833
55,4.194600653349421,5.967598662789799,-0.039310972202783824,-0.7281968955265046,0.2828055904590881,-0.07888253211638704
56,4.169803796382374,5.971935047223327,-0.04035239186129555,-0.7309182200840928,0.2671868947867277,-0.07906098575235736
57,4.144905761658574,5.975645422609997,-0.04140458317368989,-0.7332551571389146,0.2515048897035474,-0.07942111481051754
58,4.119922502189748,5.978727641179845,-0.04285330257370145,-0.735155087840128,0.23577779672673516,-0.0988873901332179
59,4.0948750204600275,5.981179607335903,-0.04442386319186352,-0.7364588129850086,0.21999157597952235,-0.08551317571804307
60,4.069785620158026,5.982999066795767,-0.04544345530608707,-0.7372849383284706,0.20415362873803472,-0.07133896493629326
61,4.0446694620173425,5.9841845900209885,-0.04602867094663675,-0.7378234313948361,0.18829578874069236,-0.06379435203434923
62,4.019535601375606,5.984735936204653,-0.04651282830391862,-0.7381762753632716,0.17244496146776742,-0.06628605077290242
63,3.994391584262252,5.98465353755495,-0.04719241227634129,-0.7383192285811496,0.15660789502081074,-0.07356568279138989
64,3.969247594830034,5.983937866149356,-0.04815668292160911,-0.7381573761790011,0.1407803516256538,-0.0805203844151588
65,3.944117861413567,5.982589278840874,-0.049362309674848434,-0.737591577640619,0.1249611655525262,-0.08563348818996593
66,3.919020128971144,5.980608243574177,-0.05071575330818488,-0.7365482258660457,0.10915722109595091,-0.08791122842001463
67,3.8939743208826987,5.977995608582344,-0.05209821834129898,-0.7349935573128827,0.09338076856817576,-0.0870845581788478
68,3.869000839585238,5.974752758613346,-0.05340487278353176,-0.7329365236335328,0.07764639493345267,-0.0841206988759496
69,3.8441190657071345,5.970881670104898,-0.05458204332685853,-0.730416118313988,0.06196897484179293,-0.08061036323354663
70,3.819346576508123,5.9663848904764185,-0.0556377229127629,-0.727479724411622,0.04636199260411584,-0.07804615100483006
71,3.7946992476946084,5.961265463308312,-0.05663104037749247,-0.7241618905938438,0.030836587219739066,-0.07749225717480658
72,3.770192018798979,5.955526789475548,-0.057588663954523604,-0.7204768758981747,0.015399573459100431,-0.07626145661990873
73,3.745839278780397,5.949172557242143,-0.05850001614138413,-0.716440242351491,5.863117771865746e-05,-0.07517868766627514
74,3.7216548237614533,5.942206826732826,-0.0594058857102031,-0.7120629043269077,-0.015175510736700747,-0.07598732571783189
75,3.6976524075833823,5.934634063998152,-0.06035229360564797,-0.7073357375578698,-0.03029332117126433,-0.07720560399756977
76,3.673846362782791,5.926459079790098,-0.061342335650962566,-0.702241575812437,-0.04528695119044787,-0.07816903321131799
77,3.650251677991804,5.917687004811507,-0.06236140430594854,-0.696765871709572,-0.06014818542108583,-0.07865693448113968
78,3.6268838064860223,5.908323319815788,-0.06339488144886381,-0.6908999413435951,-0.07486773083825228,-0.07888945760778218
79,3.6037584458319856,5.898373886376827,-0.06442273286565778,-0.6846405890160591,-0.08943581229487736,-0.07837564817507502
80,3.580891214628168,5.887844947138857,-0.06539789332259793,-0.6779966295782984,-0.1038430339970791,-0.0762549096150924
81,3.558296985564416,5.876743150419827,-0.06627124655455603,-0.6709966735346368,-0.11807848061339882,-0.07328528692596956
82,3.535989266087241,5.865075627897546,-0.0670779592687941,-0.663675167368061,-0.1321292314690056,-0.07292288372909136
83,3.5139807155015026,5.852849986412462,-0.06793319276498908,-0.6560351235942455,-0.14598480039735087,-0.07571132602381547
84,3.4922846460288106,5.840074114019332,-0.06886896791424482,-0.6480460198588129,-0.1596413026972206,-0.07694996638212907
