,T,Tau
0,0.2516264999986574,0.0
1,0.25162602186874444,0.000578685227222852
2,0.20807796778676033,-0.0001754800565534259
3,0.13875203144503218,-0.0004654095805182079
4,0.11165214952690654,-0.0002941590256422347
5,0.1077720387161428,-0.00031999283526405807
6,0.11373609049979284,0.0003266385896242307
7,0.12103265850417973,0.0005139660838003042
8,0.12623423658249594,1.1638976440192929e-05
9,0.12899705429407615,-1.9277154724781373e-05
10,0.129814061349047,-5.762173801900767e-05
11,0.12954263996122078,-3.7224703288774285e-05
12,0.12891924604617253,-7.424941122857416e-06
13,0.12836623738450678,-4.1711739725739106e-05
14,0.1279940791264215,4.2029035275012004e-05
15,0.12776552327177987,3.137834354863241e-05
16,0.12764697190443688,-5.642213705180272e-06
17,0.12756686644465345,3.2351837863342924e-05
18,0.12747765406059106,-1.8093427545685553e-05
19,0.12738135826352015,4.798630481458339e-06
20,0.12726416687875036,3.133779223952526e-06
21,0.12714219465065163,8.483777117987677e-06
22,0.12702438519153264,6.852988502402791e-06
23,0.12691215263220368,6.547969954910617e-06
24,0.12680333198220745,6.043360548379607e-06
25,0.12669630347340285,6.0754939107615926e-06
26,0.12659075451435753,6.104055995529598e-06
27,0.12648700014458455,6.1394030766783275e-06
28,0.1263853961456965,6.143125952121053e-06
29,0.12628614867790114,6.145009287832638e-06
30,0.12618935364263575,6.1484377347995146e-06
31,0.1260950654813532,6.125863812098734e-06
32,0.12600332922382929,6.134362572433529e-06
33,0.12591418076034375,6.258912438313707e-06
34,0.12582769554219866,6.1497861960819965e-06
35,0.12574396749929223,6.193897332355224e-06
36,0.12566299567710698,6.148889799775449e-06
37,0.1255848409727867,6.184068996322572e-06
38,0.125509556903464,6.186087874943058e-06
39,0.12543721651578527,6.20604933373265e-06
40,0.12536787641513727,6.206290530974056e-06
41,0.1253015856343794,6.215926376140566e-06
42,0.12523838398917317,6.219330058771258e-06
43,0.12517831367231544,6.227670156456939e-06
44,0.12512141597514642,6.233472438052647e-06
45,0.12506773243367378,6.241289590028718e-06
46,0.12501730185117027,6.24807065100314e-06
47,0.12497016088320527,6.2557168346043436e-06
48,0.12492634328418428,6.2629852640550435e-06
49,0.12488588989808913,6.096571053288773e-06
50,0.12484882166203012,6.076350275564475e-06
51,0.12481508390116336,6.409869389023255e-06
52,0.12478473539431847,6.547740420854284e-06
53,0.12475797278137721,6.520645364906581e-06
54,0.12473480812407628,6.406141116489573e-06
55,0.12471513172278109,6.284307197591098e-06
56,0.1246988648388304,6.20904038732465e-06
57,0.12468961878544778,-1.7064974905139149e-06
58,0.12467807654562467,1.1899079314337161e-05
59,0.12466757039502659,1.2230512009035513e-05
60,0.12466513886833126,9.483917672016598e-06
61,0.12467030938282904,5.325946522618021e-06
62,0.12467816881222163,3.3423404772575424e-06
63,0.12468612757639609,3.4769567840440625e-06
64,0.12469536398646784,4.239917421284514e-06
65,0.12470827752018845,5.414587981492248e-06
66,0.1247260947869885,6.70072273274092e-06
67,0.12474890549643555,7.586144666395525e-06
68,0.12477625941864057,7.812545851898882e-06
69,0.12480748754695396,7.4205737810033655e-06
70,0.12484198498606747,6.5877134432331875e-06
71,0.12487863982592494,6.868150991774898e-06
72,0.12491770263805661,6.8068225726002125e-06
73,0.12496027791519651,6.02322636305064e-06
74,0.12500634835003702,5.853515386406876e-06
75,0.12505551549192812,5.95909750679066e-06
76,0.12510786475947783,6.156105286381838e-06
77,0.12516365121155051,6.261906599609426e-06
78,0.1252229291242458,6.57110676803691e-06
79,0.1252853139475727,7.236845855230976e-06
80,0.1253508756567096,7.58853239552385e-06
81,0.12542013596133303,6.508380262228187e-06
82,0.12549295067360053,5.2030078186871845e-06
83,0.12556785073832166,5.84507952487801e-06
84,0.12564429841340416,6.796501422389841e-06
85,0.12572357853518434,6.995280964439543e-06
86,0.1258067782942406,6.458943019880088e-06
87,0.1258931861315587,6.643765740309042e-06
88,0.12598199473836125,6.723725327005243e-06
89,0.12607321117438683,6.687977109973394e-06
90,0.12616694443460552,6.5953063988597875e-06
91,0.12626312625980401,6.515800681731084e-06
