,y,z,phi,vy,vz,phi_dot
1768,4.427702444114185,3.6784121593362435,-0.36902116368273163,-0.7796608767726781,2.115891015150087,-0.08226590463405528
1769,4.4339229481160185,3.6792231226665084,-0.36878522476555525,-0.7801244539323952,2.1197886119077967,-0.08229138181698666
1770,4.440138695570273,3.680073054153125,-0.3685496165572751,-0.7806121817512789,2.123684648501896,-0.08233204641328576
1771,4.44634944489774,3.680961937446401,-0.36831448543880474,-0.7811240726559606,2.1275789745089013,-0.08238679977894879
1772,4.452554954382203,3.681889754473316,-0.36807996550762456,-0.7816601418075025,2.131471395756516,-0.08245428387133177
1773,4.458754982148422,3.6828564850304155,-0.36784617636863326,-0.782220406064899,2.135361680413747,-0.08253295821673907
1774,4.464949286150292,3.6838621064397143,-0.36761322167184385,-0.7828048829793912,2.1392495654953083,-0.08262117231170062
1775,4.471137624168711,3.6849065932704463,-0.36738118834291733,-0.7834135898460928,2.143134763525214,-0.08271723178932734
1776,4.477319753818486,3.685989917127141,-0.36715014643831795,-0.7840465428342784,2.147016969132711,-0.0828194571771305
1777,4.483495432563447,3.68711204650235,-0.3669201495467424,-0.7847037562123588,2.15089586538573,-0.08292623439407164
1778,4.48966441773872,3.6882729466906112,-0.3666912356519215,-0.7853852416787095,2.1547711297002357,-0.08303605652806544
1779,4.495826466579126,3.6894725797587555,-0.3664634283688804,-0.7860910078047461,2.15864243919822,-0.08314755675004723
1780,4.501981336252548,3.690710904566572,-0.3662367384658125,-0.7868210595924562,2.1625094754205447,-0.08325953252268774
1781,4.508128783897144,3.691987876831076,-0.3660111655864075,-0.7875753981448452,2.1663719283328864,-0.08337096148264683
1782,4.514268566661305,3.693303449227146,-0.36578670009250824,-0.7883540204445811,2.170229499592855,-0.08348100962380216
1783,4.520400441745323,3.694657571517112,-0.3655633249537395,-0.7891569192334761,2.1740819050732036,-0.08358903250877465
1784,4.526524166443811,3.6960501907019467,-0.3653410176188467,-0.7899840829834744,2.1779288766594957,-0.0836945703989961
1785,4.53263949818801,3.697481251186998,-0.36511975181259726,-0.7908354959482929,2.1817701633605404,-0.08379733823744437
1786,4.538746194587243,3.698950694955653,-0.3648994992117053,-0.7917111382839431,2.185605531785995,-0.08389721147048422
1787,4.544844013468903,3.7004584617449496,-0.36468023096302304,-0.7926109862258953,2.189434766057899,-0.08399420867938674
1788,4.55093271291645,3.7020044892178383,-0.36446191901688274,-0.7935350123106275,2.193257667231588,-0.08408847197888752
1789,4.557012051305049,3.703588713127602,-0.36424453725772044,-0.7944831856296375,2.1970740523067707,-0.08418024607497028
1790,4.563081787334584,3.705211067470748,-0.3640280624227029,-0.7954554721046976,2.2008837529115164,-0.08426985680784793
1791,4.569141680059867,3.706871484625501,-0.3638124748068309,-0.796451834773975,2.20468661374143,-0.08435768990408772
1792,4.575191488918008,3.7085698954738615,-0.3635977587598463,-0.7974722340798258,2.2084824908329166,-0.08444417058531688
1793,4.581230973752936,3.7103062295059286,-0.3633839029860038,-0.7985166281502232,2.212271249744542,-0.08452974453253183
1794,4.58725989483721,3.7120804149059032,-0.36317090066253555,-0.7995849730671604,2.2160527637135217,-0.08461486066013847
1795,4.593278012891219,3.7138923786198323,-0.36295874939620015,-0.8006772231166075,2.2198269118467273,-0.08469995595912458
1796,4.5992850891000225,3.7157420464056754,-0.36274745103987616,-0.8017933310160403,2.2235935773965294,-0.08478544266241579
1797,4.605280885128053,3.7176293428667666,-0.3625370113927826,-0.8029332481166562,2.2273526461630584,-0.08487169780521081
1798,4.6112651631319235,3.719554191470078,-0.3623274398084623,-0.8040969245787031,2.231104005054852,-0.08495905521704544
1799,4.61723768577164,3.7215165145510074,-0.3621187487345046,-0.8052843095192953,2.2348475408311153,-0.0850477998777402
1800,4.623198216220465,3.7235162333065603,-0.3619109532071228,-0.8064953511330961,2.238583139040032,-0.08513816453221144
1801,4.629146518173708,3.7255532677789307,-0.3617040703221552,-0.8077299967869526,2.24231068315982,-0.08523032836057932
1802,4.635082355856683,3.7276275368315006,-0.3614981187020946,-0.8089881930902869,2.2460300539419333,-0.08532441751362048
1803,4.6410054940320915,3.7297389581192557,-0.36129311797644054,-0.81026988594347,2.249741128949829,-0.08542050724189802
1804,4.646915698006995,3.7318874480554998,-0.3610890882900587,-0.8115750205668077,2.253443782281376,-0.0855186253680474
1805,4.652812733639592,3.7340729217766406,-0.360886049851552,-0.8129035415129828,2.257137884458868,-0.08561875681693638
1806,4.658696367345929,3.7362952931021733,-0.360684042842276,-0.8142553923716304,2.260823301468708,-0.08572491121418284
1807,4.6645663661548475,3.7385544745763686,-0.3604831195990251,-0.8156305068162429,2.2644999122128024,-0.08583551002194041
1808,4.6704224977529,3.7408503774576247,-0.360283308189434,-0.8170288199854501,2.2681675807470056,-0.08594727794614922
1809,4.676264530444175,3.743182911536474,-0.36008461783106344,-0.818450273508725,2.2718261495462713,-0.08605972026604923
1810,4.682092233114274,3.745551985011895,-0.3598870538451492,-0.8198948095110514,2.275475457846135,-0.08617255243743038
1811,4.687905375231492,3.74795750447954,-0.35969061937012026,-0.8213623693606024,2.279115345757767,-0.08628562244309554
1812,4.69370372685578,3.750399374946641,-0.35949531620125763,-0.8228528933775551,2.2827456554926377,-0.08639881367070626
1813,4.699487058649366,3.75287749985506,-0.35930114513285316,-0.8243663207996864,2.2863662317706326,-0.08651204253473117
1814,4.705255141887512,3.755391781107398,-0.3591081062653772,-0.8259025897927164,2.2899769220234343,-0.08662525385639787
1815,4.711007748469077,3.7579421190945506,-0.3589161992759714,-0.8274616374763722,2.293577576480409,-0.08673841814876941
1816,4.7167446509267945,3.7605284127236667,-0.3587254236627259,-0.8290433999592237,2.2971680481631718,-0.08685152908846845
1817,4.722465622437162,3.7631505594456764,-0.35853577896015293,-0.8306478123783052,2.3007481928063127,-0.08696460028326275
1818,4.7281704368298225,3.7658084552814644,-0.3583472647524109,-0.8322748089665944,2.304317868665634,-0.0870776280546428
1819,4.733858868595931,3.7685019948453164,-0.35815988053140446,-0.8339243231902683,2.3078769361656075,-0.0871905976303813
1820,4.739530692895742,3.7712310713664223,-0.35797362647581704,-0.835596287751661,2.311425257858932,-0.08730366113846483
1821,4.745185685567337,3.7739955767117226,-0.3577885037876701,-0.8372906343695057,2.3149626987372756,-0.08741687111845528
